german,english,forms,lemma_forms
Ich,I,ich,ich
ist,is,ist,sein
ich,I,ich,ich
nicht,not,nicht,nicht
Sie,she,sie Sie,sie Sie
du,you,du,du
das,the,das,das
die,the,die,die
es,it,es,es
und,and,und,und
der,the,der,der
zu,to,zu,zu
sie,she,sie,sie
Das,That,das,das
ein,a,ein,ein
in,in,in,in
wir,weather,wir,wir
Du,You,du Du,du Du
mir,me,mir,mir
mit,with,mit,mit
Was,What,was,was
den,the,den,der
mich,me,mich,mich
was,What,was,was
auf,on,auf,auf
dass,that,dass,dass
er,he,er,er
eine,one,eine,eine
Es,It,es,es
hat,Has,hat,haben
Wir,we,wir,wir
Und,and,und,und
so,so,so,so
sind,are,sind,sein
von,from,von,von
dich,you,dich,dich
war,was,war,war
haben,to have,haben,haben
für,for,für,für
Ja,Yes,ja,ja
hier,here,hier,hier
an,at,an,an
habe,have,habe,haben
Er,He,er,er
bin,am,bin,sein
wie,how,wie,wie
noch,still,noch,noch
dir,to you,dir,dir
uns,US,uns,uns
sich,themselves,sich,sich
Die,the,die,die
nur,only,nur,nur
einen,a,einen,ein
Nein,no,nein,nein
dem,to the,dem,der
ihn,him,ihn,ihn
auch,even,auch,auch
hast,have,hast,haben
sein,be,sein,sein
ihr,your,ihr,ihr
da,there,da,da
aus,the end,aus,aus
kann,can,kann,können
aber,but,aber,aber
Aber,but,aber,aber
schon,beautiful,schon,schon
wenn,if,wenn,wenn
wird,will,wird,werden
um,around,um,um
Wie,As,wie,wie
als,as,als,als
bist,are you,bist,sein
im,in the,im,in
mal,times,mal,mal
doch,but,doch,doch
gut,Well,gut,gut
meine,my,meine,mein
jetzt,now,jetzt,jetzt
weiß,White,weiß,wissen
Wenn,if,wenn,wenn
werden,will,werden,werden
Der,Of the,der,der
nach,after,nach,nach
ja,Yes,ja,ja
Oh,Oh,oh,oh
oder,or,oder,oder
dann,then,dann,dann
will,want,will,wollen
mein,my,mein,mein
mehr,more,mehr,mehr
keine,no,keine,kein
etwas,some,etwas,etwas
alles,All,alles,alles
muss,got to,muss,müssen
immer,always,immer,immer
nichts,nothing,nichts,nichts
man,you,man,man
wieder,again,wieder,wieder
bei,at,bei,bei
hab,have,hab,haben
machen,do,machen,machen
vor,before,vor,vor
Mann,man,Mann,Mann
ihm,him,ihm,ihm
einem,one,einem,ein
tun,to do,tun,tun
zum,to the,zum,zu
können,can,können,können
sagen,to say,sagen,sagen
werde,will,werde,werden
denn,because,denn,denn
Ist,is,ist,sein
Ein,A,ein,ein
Warum,why,warum,warum
einer,one,einer,einer ein
gehen,walk,gehen,gehen
sehen,see,sehen,sehen
sehr,very,sehr,sehr
geht,goes,geht,gehen
alle,Everyone,alle,alle
über,above,über,über
müssen,have to,müssen,müssen
diese,these,diese,dieser
einfach,simple,einfach,einfach
euch,you,euch,euch
des,of,des,der
nie,never,nie,nie
Also,So,also,also
Wo,Where,wo,wo
los,Come on,los,los
Zeit,Time,Zeit,Zeit
Ihnen,them,ihnen Ihnen,ihnen Ihnen
gibt,gives,gibt,geben
wirklich,really,wirklich,wirklich
Hey,Hey,hey,hey
Danke,thanks,danke,danke
deine,yours,deine,dein
würde,would,würde,werden
soll,target,soll,sollen
Da,There,da,da
hatte,would have,hatte,haben
Hier,here,hier,hier
wissen,to know,wissen,wissen
bitte,You're welcome,bitte,bitte
viel,much,viel,viel
Dann,then,dann,dann
So,So,so,so
gesagt,said,gesagt,sagen
Ihr,you,ihr Ihr,ihr Ihr
am,at the,am,an
kein,no,kein,kein
Komm,come over,komm,kommen
Wer,who,wer,wer
zurück,return,zurück,zurück
wurde,became,wurde,werden
In,In,in,in
wollte,wanted to,wollte,wollen
Frau,Mrs,Frau,Frau
Leben,Life,leben Leben,leben Leben
wäre,were,wäre,sein
wo,Where,wo,wo
damit,in order to,damit,damit
Nicht,not,nicht,nicht
Gott,God,Gott,Gott
Leute,people,Leute,Leute
kannst,can,kannst,können
heute,today,heute,heute
meinen,say,meinen,mein
dieser,this,dieser,dieser
dein,your,dein,dein
kommt,comes,kommt,kommen
kommen,come,kommen,kommen
willst,want,willst,wollen
Na,N / A,na,na
wollen,want,wollen,wollen
sicher,for sure,sicher,sicher
ganz,quite,ganz,ganz
Jetzt,now,jetzt,jetzt
Mein,my,mein,mein
Mr,mr,Mr,Mr.
also,so,also,also
zur,to the,zur,zu
Hast,Have,hast,haben
Gut,Good,gut,gut
hätte,would have,hätte,haben
weil,because,weil,weil
tut,does,tut,tun
Hallo,Hello,hallo,hallo
Okay,OK,okay,okay
macht,power,macht,machen
waren,was,waren,sein
bis,until,bis,bis
Vielleicht,Maybe,vielleicht,vielleicht
könnte,could,könnte,können
Eine,One,eine,ein
Bitte,You're welcome,bitte Bitte,bitte Bitte
weg,path,weg,weg
seine,his,seine,sein
lassen,permit,lassen,lassen
Vater,father,Vater,Vater
gesehen,seen,gesehen,sehen
Nun,so,nun,nun
gerade,just,gerade,gerade
Alles,Everything,alles,alles
glaube,faith,glaube,glauben
Tag,Day,Tag,Tag
ab,away,ab,ab
Geld,money,Geld,Geld
gemacht,made,gemacht,machen
nein,no,nein,nein
Sir,Sir,Sir,Sir
sollte,should,sollte,sollen
sagte,said,sagte,sagen
keinen,no,keinen,kein
durch,by,durch,durch
zwei,two,zwei,zwei
diesen,this,diesen,dieser
passiert,happened,passiert,passieren
wohl,well,wohl,wohl
vielleicht,perhaps,vielleicht,vielleicht
ihre,their,ihre,ihre
Mutter,mother,Mutter,Mutter
reden,talk,reden,reden
anderen,others,anderen,anderer
dachte,thought,dachte,denken
daß,that,daß,daß
möchte,would like to,möchte,mögen
wirst,will,wirst,werden
gehört,heard,gehört,hören gehören
weißt,know,weißt,wissen
Keine,No,keine,keine
raus,Out,raus,raus
Meine,My,meine,meine
paar,pair,paar,paar
besser,better,besser,gut
ob,if,ob,ob
her,here,her,her
musst,must,musst,müssen
Ordnung,order,Ordnung,Ordnung
meiner,mine,meiner,mein
klar,clear,klar,klar
ihnen,them,ihnen,ihnen
Los,Come on,los Los,los Los
diesem,this,diesem,dieser
meinem,my,meinem,mein
lange,Long,lange,lange
Lass,let,lass,lassen
dieses,this,dieses,dieser
helfen,help,helfen,helfen
unsere,our,unsere,unser
Weg,path,Weg,Weg
selbst,self,selbst,selbst
Nur,Just,nur,nur
finden,Find,finden,finden
Mal,Times,mal Mal,mal Mal
jemand,someone,jemand,jemand
denke,think,denke,denken
Ach,Oh,ach,ach
Nacht,night,Nacht,Nacht
genau,precisely,genau,genau
gar,at all,gar,gar
sagt,says,sagt,sagen
Welt,world,Welt,Welt
Auf,on,auf,auf
Mädchen,girl,Mädchen,Mädchen
ins,into the,ins,in
hin,there,hin,hin
vom,from the,vom,von
schön,Nice,schön,schön
warum,why,warum,warum
weiter,Further,weiter,weiter
Leid,suffering,leid Leid,leid Leid
gleich,same,gleich,gleich
wer,who,wer,wer
Man,you,man,man
ohne,without,ohne,ohne
Menschen,people,Menschen,Mensch
deinen,your,deinen,dein
leid,suffering,leid,leid
Wieso,how come,wieso,wieso
dort,there,dort,dort
Als,as,als,als
Hause,home,Hause,Haus
sollten,should,sollten,sollen
davon,of that,davon,davon
zusammen,together,zusammen,zusammen
geben,give,geben,geben
Ok,OK,Ok,Ok
Hör,Listen,hör,hören
machst,doing,machst,machen
Freund,friend,Freund,Freund
richtig,correct,richtig,richtig
Angst,anxiety,Angst,Angst
Bist,Are you,bist,sein
Tut,Does,tut,tun
Mit,With,mit,mit
viele,many,viele,viel
sieht,sees,sieht,sehen
Haus,House,Haus,Haus
tot,dead,tot,tot
sollen,should,sollen,sollen
ganze,whole,ganze,ganz
andere,other,andere,anderer
getan,did,getan,tun
okay,OK,okay,okay
rein,pure,rein,rein
Diese,These,diese,dieser
Moment,moment,Moment,Moment
bleiben,stay,bleiben,bleiben
brauchen,to need,brauchen,brauchen
Weil,because,weil,weil
Kinder,children,Kinder,Kind
unter,under,unter,unter
Arbeit,job,Arbeit,Arbeit
Für,For,für,für
Problem,problem,Problem,Problem
dafür,Therefore,dafür,dafür
Herr,Mr,Herr,Herr
Haben,Have,haben,haben
wegen,because,wegen,wegen
geht's,it's,geht's,gehen 's es
liebe,love,liebe,lieber
genug,enough,genug,genug
dabei,included,dabei,dabei
bringen,bring,bringen,bringen
Ihre,Her,ihre Ihre,ihre Ihre
ne,ne,ne,ne eine
gegen,against,gegen,gegen
Weißt,know,weißt,wissen
Sag,say,sag,sagen
schnell,fast,schnell,schnell
nun,well,nun,nun
eines,one,eines,ein
brauche,need,brauche,brauchen
Abend,evening,Abend,Abend
hatten,had,hatten,haben
Jahre,years,Jahre,Jahr
Mach,Mach,mach,machen
Bruder,Brothers,Bruder,Bruder
Sache,Thing,Sache,Sache
hören,hear,hören,hören
komm,come over,komm,kommen
Sohn,son,Sohn,Sohn
seit,since,seit,seit
Morgen,morning,morgen Morgen,morgen Morgen
drei,three,drei,drei
steht,stands,steht,stehen
Scheiße,crap,Scheiße,Scheiße
mag,like,mag,mögen
sei,may be,sei,sein
unser,our,unser,unser
konnte,could,konnte,können
habt,have,habt,haben
Oder,or,oder,oder
einmal,once,einmal,einmal
heißt,called,heißt,heißen
OK,OK,OK,OK
Willst,Want,willst,wollen
Kopf,head,Kopf,Kopf
Hilfe,help,Hilfe,Hilfe
Familie,family,Familie,Familie
Geh,go,geh,gehen
Baby,infant,Baby,Baby
Dich,You,dich,dich
Sind,Are,sind,sein
erst,first,erst,erst
fertig,done,fertig,fertig
gefunden,found,gefunden,finden
seid,are,seid,sein
kam,came,kam,kommen
nehmen,to take,nehmen,nehmen
morgen,morning,morgen,morgen
sprechen,speak,sprechen,sprechen
Mir,Me,mir,mir
sofort,immediately,sofort,sofort
Kann,Can,kann,können
Hat,Has,hat,haben
Jahren,years,Jahren,Jahr
Kind,child,Kind,Kind
seinen,his,seinen,sein
Genau,Exactly,genau,genau
daran,to it,daran,daran
Junge,Young,Junge,Junge
Minuten,minutes,Minuten,Minute
bevor,before,bevor,bevor
Stadt,city,Stadt,Stadt
beim,at the,beim,bei
sterben,die,sterben,sterben
warst,were,warst,sein
Recht,Law,Recht,Recht
glauben,believe,glauben,glauben
Warte,Wait,warte,warten
darüber,about that,darüber,darüber
deiner,yours,deiner,dein
deinem,your,deinem,dein
Ende,end,Ende,Ende
He,He,he,he
Dinge,things,Dinge,Ding
Namen,names,Namen,Namen
wahr,true,wahr,wahr
Alle,All,alle,alle
allein,alone,allein,allein
Natürlich,Naturally,natürlich,natürlich
töten,kill,töten,töten
Nichts,nothing,nichts,nichts
Wirklich,For real,wirklich,wirklich
bekommen,receive,bekommen,bekommen
Männer,men,Männer,Mann
vergessen,forget,vergessen,vergessen
Doch,Indeed,doch,doch
dazu,to,dazu,dazu
gab,gave,gab,geben
später,later,später,spät
wusste,knew,wusste,wissen
Augen,eyes,Augen,Auge
Dank,thanks to,Dank,Dank
Freunde,friends,Freunde,Freund
Jungs,guys,Jungs,Junge
halten,keep,halten,halten
warten,wait,warten,warten
Glück,happiness,Glück,Glück
beide,both,beide,beide
gute,quality,gute,gut
Dein,Your,dein,dein
kennen,know,kennen,kennen
Deine,Yours,deine,dein
n,n,n,n ein
Hi,Hi,hi,hi
Dr,Dr,Dr,Dr.
Auto,automobile,Auto,Auto
sage,legend,sage,sagen
gehe,go,gehe,gehen
komme,get,komme,kommen
Dir,To you,dir,dir
mache,make,mache,machen
Von,from,von,von
Uhr,clock,Uhr,Uhr
sehe,see,sehe,sehen
Teufel,Devil,Teufel,Teufel
sonst,otherwise,sonst,sonst
Art,kind,Art,Art
gern,gladly,gern,gern
Liebe,love,Liebe,Liebe
jeden,every,jeden,jeder
könnten,could,könnten,können
ihren,their,ihren,ihr
Halt,Stop,halt Halt,halten Halt
Fall,case,fall Fall,fallen Fall
Dad,Dad,Dad,Dad
Film,Movie,Film,Film
bisschen,little,bisschen,bisschen
eigentlich,actually,eigentlich,eigentlich
weit,far,weit,weit
mach,mach,mach,machen
Gib,Give,gib,geben
vorbei,past,vorbei,vorbei
verstehe,understand,verstehe,verstehen
danke,thanks,danke,danke
drin,in it,drin,drin
Im,in the,im,in
Name,Surname,Name,Name
ganzen,entire,ganzen,ganz
Musik,music,Musik,Musik
würden,would,würden,werden
Tür,door,Tür,Tür
verrückt,crazy,verrückt,verrückt
solltest,should,solltest,sollen
denken,think,denken,denken
Noch,Yet,noch,noch
dran,your turn,dran,dran
Sieh,Look,sieh,sehen
lieber,rather,lieber,lieb
Den,The,den,der
leben,Life,leben,leben
Guten,good,guten,gut
Um,Around,um,um
darauf,thereon,darauf,darauf
Kein,No,kein,kein
stimmt,Right,stimmt,stimmen
Kerl,Guy,Kerl,Kerl
letzte,last,letzte,letzter
Job,job,Job,Job
verloren,lost,verloren,verlieren
wurden,became,wurden,werden
kenne,know,kenne,kennen
Ahnung,idea,Ahnung,Ahnung
seiner,his,seiner,sein
Grund,reason,Grund,Grund
toll,Great,toll,toll
Bis,To,bis,bis
Verdammt,Damned,verdammt,verdammen
bald,soon,bald,bald
bereit,ready,bereit,bereit
all,Alles,all,all
jemanden,someone,jemanden,jemand
hinter,Behind,hinter,hinter
Schon,Nice,schon,schon
Sehr,very,sehr,sehr
Hand,hand,Hand,Hand
darf,allowed,darf,dürfen